genre,best_C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
chicago-house,0.01,0.5730000000000001,0.3149206174552073,0.5461538461538461,0.3992884070735624,0.5873830561330561
afrobeat,0.1,0.5720000000000001,0.3267660959514892,0.5784765897973445,0.417304494536533,0.5838245042136783
latino,10.0,0.5690000000000001,0.29802560237433096,0.532,0.3818510331276289,0.57352
edm,10.0,0.5690000000000001,0.3235220790330978,0.5619846261355695,0.40999869976597436,0.5796411120664342
reggaeton,100.0,0.568,0.29634146284928037,0.52,0.37698424499690286,0.58304
ambient,100.0,0.568,0.32797767114464266,0.5529292929292929,0.41082415994914906,0.5708925612605349
acoustic,0.1,0.567,0.35046008819039404,0.6105263157894736,0.4450886035178832,0.5953625322046374
dub,100.0,0.567,0.33612516973419226,0.6512336719883889,0.4428696896658953,0.6170776121416284
latin,1.0,0.567,0.35203928000817397,0.5696084161309176,0.4348126320137304,0.6038823104053689
chill,0.01,0.5630000000000001,0.34011030302786044,0.5815162907268171,0.4284403210875287,0.5972828980230296
indian,0.1,0.562,0.3260952765803335,0.6246734397677793,0.42799280527921446,0.6012805302562715
turkish,0.001,0.561,0.3311919319699206,0.5530701754385964,0.41332464157300947,0.569168003049582
dancehall,10.0,0.5609999999999999,0.3057512032547053,0.5447209653092007,0.3908133301679679,0.5861349606538118
electronic,0.01,0.5609999999999999,0.3199250098813966,0.5555555555555556,0.40598278709076396,0.5615677321156772
brazil,10.0,0.558,0.29912796315020784,0.530844645550528,0.3824569393693319,0.5346847120435749
grunge,1.0,0.554,0.31014765827730645,0.5487071977638014,0.3956772843073822,0.5754984872097083
synth-pop,0.1,0.548,0.29321037837915376,0.5733333333333334,0.3874006743681869,0.5573237162784577
rock-n-roll,10.0,0.547,0.30019793248247423,0.5576923076923077,0.38984783332609413,0.5724532224532226
power-pop,0.1,0.5469999999999999,0.30888004277042497,0.5660377358490566,0.39695463842865514,0.5747657553587472
pop,10.0,0.546,0.32087823893602385,0.5463032581453635,0.40390064766777095,0.5710221065484223
singer-songwriter,1.0,0.546,0.2840647183492955,0.5137254901960784,0.3656621204188132,0.5437557573364916
house,10.0,0.546,0.3039970849545318,0.5632801161103048,0.39355148025303965,0.5780322032512059
dubstep,10.0,0.544,0.3295233212884179,0.6011278195488722,0.4252329490189222,0.5852476699104988
electro,1.0,0.542,0.3002534030943633,0.5276729559748428,0.3823523445633714,0.5351242418221704
german,1.0,0.542,0.29802340853087217,0.53382250174703,0.38230939836419287,0.572801775142727
r-n-b,1.0,0.5390000000000001,0.35028706274416327,0.515625,0.416376042891286,0.5479204963235293
pagode,0.001,0.5369999999999999,0.27860130713342696,0.5275294117647059,0.3645349837599078,0.569654991446243
songwriter,100.0,0.5349999999999999,0.28581087897975943,0.5490196078431373,0.37569512600995614,0.5634820371101461
anime,0.01,0.534,0.2935309439194012,0.6098823529411764,0.3961975435179965,0.5711601368601131
deep-house,100.0,0.533,0.3195035775823724,0.6808417997097244,0.43382616330709717,0.5986767792866176
sertanejo,1.0,0.53,0.2787940822475111,0.44363636363636366,0.3420525423276083,0.5218181818181818
world-music,1.0,0.528,0.31928837986807623,0.6877009084556255,0.4356190244372266,0.5980866968423738
trip-hop,1.0,0.528,0.31063426759440116,0.5834415584415584,0.40459278617638483,0.5583063843484102
honky-tonk,0.001,0.526,0.2782576145931413,0.5059506531204645,0.3576671363788051,0.5378529380214017
bluegrass,10.0,0.523,0.30060943807380414,0.5396753246753246,0.38544663617881175,0.5701391330173657
j-idol,10.0,0.519,0.2692520907001172,0.5021870286576169,0.35043791022364296,0.5145053416865497
ska,0.01,0.517,0.29348212172660393,0.5255844155844156,0.37631042350159044,0.5027937129919888
mpb,0.01,0.516,0.33142693251871563,0.526984126984127,0.4067275578431572,0.5198702351987023
metal,0.001,0.5149999999999999,0.2968183935019521,0.5229949874686717,0.3778342751477389,0.5261476690341822
salsa,0.1,0.51,0.2461978126409381,0.46243137254901967,0.3200376795833541,0.5061090564547965
forro,10.0,0.5,0.2922630397422513,0.5090590298071304,0.3707485124968334,0.5024824855137432
