genre,best_C,best_threshold,cv_f1,roc_auc
dance,0.01,0.4503846163659521,0.43373493975903615,0.596070535596789
rock-n-roll,1.0,0.42305213779771916,0.433264887063655,0.572016632016632
afrobeat,0.001,0.46855610116925334,0.4328485885372113,0.584186966052734
electronic,0.01,0.42204430696376644,0.432296047098402,0.5585844748858448
punk,10.0,0.41791234182513465,0.432258064516129,0.6030133333333334
power-pop,0.1,0.4645455723693415,0.4312431243124312,0.5723270440251572
kids,0.001,0.4976354409723232,0.4305177111716621,0.5867656902269162
punk-rock,10.0,0.3525848712620783,0.43033509700176364,0.5891721220355731
ambient,100.0,0.36561331760660204,0.4301255230125523,0.5671332335706476
electro,10.0,0.3241379553557215,0.4297253634894992,0.5349345755419831
country,0.01,0.44316354498272664,0.42931034482758623,0.5899518280632412
chicago-house,1.0,0.40015784024701617,0.42857142857142855,0.5916709979209979
idm,1.0,0.35365193255484084,0.42741208295761945,0.6006174358866935
honky-tonk,0.1,0.4077668227786187,0.4245614035087719,0.5411363507385298
dancehall,0.01,0.4443472333954846,0.4218600191754554,0.5718063349642297
anime,0.001,0.4998933642698288,0.4182041820418204,0.5664790770163671
party,0.01,0.48114434258751704,0.4156769596199525,0.5649702830981183
songwriter,0.001,0.4901879512500636,0.41527001862197394,0.5283984734833531
j-idol,10.0,0.26463270681845646,0.41373801916932906,0.5053798738009264
brazil,10.0,0.31316118173161855,0.41346153846153844,0.5320185336091435
singer-songwriter,0.01,0.4376171476364723,0.41222707423580784,0.5294433478089222
latino,10.0,0.37440413000054745,0.4106813996316759,0.57448
pagode,0.01,0.46845469574283927,0.40744797371303393,0.559425664205076
reggaeton,0.01,0.4744460598374319,0.4072948328267477,0.5677066666666667
synth-pop,0.1,0.36033168751892236,0.4068669527896996,0.5517662327991106
salsa,0.001,0.4849423924350118,0.40298507462686567,0.5070878036585302
